snapshot_index,snapshot_time,vector_index,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude_m,on_ground,velocity_m_s,true_track_deg,vertical_rate_m_s,sensors,geo_altitude_m,squawk,spi,position_source,category
1,1786673155,1,a48850,UPS266  ,United States,1786673155,1786673155,9.4747,48.3902,11887.2,False,241.82,152.78,0,null,12458.7,0633,False,0,
1,1786673155,2,896175,UAE4M   ,United Arab Emirates,1786673154,1786673155,5.0463,45.5435,10972.8,False,256.15,109.96,0,null,11567.16,2366,False,0,
1,1786673155,3,3849ff,M02     ,France,1786673154,1786673154,7.5318,47.5864,,True,12.35,300.94,,null,,,False,0,
1,1786673155,4,407fac,TOM8VC  ,United Kingdom,1786673154,1786673154,9.0408,48.9159,11582.4,False,228.42,300.9,0,null,12176.76,2245,False,0,
1,1786673155,5,3c815e,F172    ,Germany,1786673142,1786673143,9.2005,48.6854,,True,1.29,70.31,,null,,,False,0,
1,1786673155,6,7c8066,QFA219  ,Australia,1786673154,1786673154,11.6329,49.3885,12192,False,244.2,293.59,0,null,12778.74,3224,False,0,
1,1786673155,7,45ce47,SRR6382 ,Denmark,1786673154,1786673155,6.2995,48.5581,11887.2,False,233.12,181.52,0,null,12473.94,4126,False,0,
1,1786673155,8,3c5434,BCS6GA  ,Germany,1786673154,1786673154,8.7707,45.7544,3429,False,180.12,147.72,-6.83,null,3726.18,1000,False,0,
1,1786673155,9,4b5d62,VIKTOR21,Switzerland,1786673153,1786673153,8.5626,47.4577,,True,2.83,272.81,,null,,,False,0,
1,1786673155,10,4b5d54,GALA6   ,Switzerland,1786673154,1786673154,8.5502,47.4581,,True,3.6,275.62,,null,,,False,0,
1,1786673155,11,4b5d6e,VIKTOR31,Switzerland,1786673139,1786673142,8.5619,47.4409,,True,2.83,22.5,,null,,,False,0,
1,1786673155,12,4b5c39,GALA21  ,Switzerland,1786673149,1786673149,8.5506,47.458,,True,4.63,278.44,,null,,,False,0,
1,1786673155,13,4b5c1b,URSULA8 ,Switzerland,1786673153,1786673154,8.5628,47.4568,,True,0.26,300.94,,null,,,False,0,
1,1786673155,14,48ea3a,ENT1511 ,Poland,1786673155,1786673155,8.0877,47.9068,10972.8,False,229.54,225.45,0,null,11551.92,7541,False,0,
1,1786673155,15,424cbf,MACOR   ,United Kingdom,1786673154,1786673154,11.2504,46.8991,9883.14,False,244.26,222.87,-8.13,null,10424.16,1000,False,0,
1,1786673155,16,a61c53,THY6091 ,United States,1786673154,1786673154,10.8344,49.3817,10363.2,False,243.21,288.63,0,null,10888.98,1000,False,0,
1,1786673155,17,8966d5,ETD2    ,United Arab Emirates,1786673154,1786673155,7.5863,47.8922,11277.6,False,259.27,104.01,0,null,11856.72,2250,False,0,
1,1786673155,18,4d253b,EWG40C  ,Malta,1786673154,1786673154,5.7932,46.5527,11277.6,False,224.65,200.51,0,null,11894.82,1000,False,0,
